wav_filename,wav_filesize,transcript
/GeneralizedKWS/timit3/selected_words_train/timing/1.wav,128050,timing
/GeneralizedKWS/timit3/selected_words_train/third/8.wav,128058,third
/GeneralizedKWS/timit3/selected_words_train/third/10.wav,128050,third
/GeneralizedKWS/timit3/selected_words_train/third/9.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/third/2.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/third/1.wav,128058,third
/GeneralizedKWS/timit3/selected_words_train/third/7.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/third/3.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/third/4.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/third/6.wav,128050,third
/GeneralizedKWS/timit3/selected_words_train/third/5.wav,64058,third
/GeneralizedKWS/timit3/selected_words_train/dancers/1.wav,128050,dancers
/GeneralizedKWS/timit3/selected_words_train/freely/8.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/15.wav,128058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/12.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/10.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/14.wav,64058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/9.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/2.wav,64058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/13.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/1.wav,64058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/7.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/3.wav,128058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/4.wav,64058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/6.wav,128050,freely
/GeneralizedKWS/timit3/selected_words_train/freely/5.wav,128058,freely
/GeneralizedKWS/timit3/selected_words_train/freely/11.wav,64058,freely
/GeneralizedKWS/timit3/selected_words_train/stream/1.wav,64058,stream
/GeneralizedKWS/timit3/selected_words_train/thick/8.wav,128050,thick
/GeneralizedKWS/timit3/selected_words_train/thick/18.wav,64058,thick
